Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q75QN2,INTS8,Integrator complex subunit 8,22,14.263715,14.25109,0.0126250000000017,1.00878938494372,Up,0.89783274744073,0.947060955139647
Q92782,DPF1,Zinc finger protein neuro-d4,2,10.534735,10.49179,0.0429449999999996,1.03021467789946,Up,0.897838807043558,0.947060955139647
P25054,APC,Adenomatous polyposis coli protein,17,12.37038,12.39435,-0.02397,0.983522525589578,Down,0.897909508988505,0.947060955139647
Q9Y297,BTRC,F-box/WD repeat-containing protein 1A,1,11.778585,11.67476,0.103825000000001,1.07461881287422,Up,0.898122159522997,0.947134091636746
Q8IY22,CMIP,C-Maf-inducing protein,2,10.7292,10.62857,0.100629999999999,1.07224158969524,Up,0.89833908563289,0.947169730021205
Q8NHM4,PRSS3P2,Putative trypsin-6,1,11.85964,11.79089,0.0687499999999979,1.04880756732501,Up,0.89844258397684,0.947169730021205
Q6P1N9,TATDN1,Deoxyribonuclease TATDN1,6,14.23215,14.19408,0.0380700000000012,1.02673936221602,Up,0.898861782647118,0.947435163815962
Q86X10,RALGAPB,Ral GTPase-activating protein subunit beta,11,12.629715,12.665135,-0.03542,0.975747657993981,Down,0.899134390068413,0.947435163815962
O60678,PRMT3,Protein arginine N-methyltransferase 3,6,12.42965,12.45923,-0.02958,0.979705469710325,Down,0.899305516254578,0.947435163815962
Q969L4,LSM10,U7 snRNA-associated Sm-like protein LSm10,5,12.06027,12.09312,-0.03285,0.977487392522099,Down,0.899333472122753,0.947435163815962
Q9BSB4,ATG101,Autophagy-related protein 101,2,10.1581435,10.077582,0.0805615000000017,1.05742951431482,Up,0.899411139019723,0.947435163815962
Q9H211,CDT1,DNA replication factor Cdt1,10,13.5386,13.50184,0.0367599999999992,1.02580748260676,Up,0.899781398486624,0.94767414543396
Q7Z569,BRAP,BRCA1-associated protein,10,14.584055,14.610875,-0.02682,0.981581524697755,Down,0.899968883136482,0.947720578178618
Q13418,ILK,Scaffold protein ILK,18,14.884115,14.874725,0.00938999999999801,1.00652987932977,Up,0.900269547399112,0.947886161981955
Q8N8D1,PDCD7,Programmed cell death protein 7,6,12.85662,12.822765,0.0338549999999991,1.02374400249358,Up,0.900576030570324,0.948057818738335
Q8IXU6,SLC35F2,Solute carrier family 35 member F2,1,10.644825,10.726325,-0.0815,0.945074522115988,Down,0.900870273039921,0.948191884844101
P13984,GTF2F2,General transcription factor IIF subunit 2,10,14.19787,14.177925,0.0199449999999999,1.01392082525334,Up,0.900990321806772,0.948191884844101
Q8TEL6,TRPC4AP,Short transient receptor potential channel 4-associated protein,4,10.17946,10.230165,-0.050705,0.965464421327176,Down,0.901158857458713,0.948218259663212
O60671,RAD1,Cell cycle checkpoint protein RAD1,4,12.61762,12.595835,0.0217849999999995,1.01521479554171,Up,0.901464012565993,0.948388357059638
Q567U6,CCDC93,Coiled-coil domain-containing protein 93,3,10.78127,10.751625,0.0296449999999986,1.02076091897027,Up,0.901665568152187,0.948436649252293
Q8TC07,TBC1D15,TBC1 domain family member 15,5,13.774845,13.733985,0.0408599999999986,1.02872687477113,Up,0.901796929021245,0.948436649252293
O15091,PRORP,Mitochondrial ribonuclease P catalytic subunit,10,12.398745,12.383605,0.0151400000000006,1.01054950606454,Up,0.903136218545701,0.949684495344547
Q8NF37,LPCAT1,Lysophosphatidylcholine acyltransferase 1,9,12.551415,12.564465,-0.01305,0.990995217391869,Down,0.903360439068406,0.949684495344547
Q96FZ7,CHMP6,Charged multivesicular body protein 6,2,11.38718,11.342215,0.0449650000000013,1.03165815081491,Up,0.903414498748853,0.949684495344547
Q9H9A5,CNOT10,CCR4-NOT transcription complex subunit 10,9,12.81274,12.80267,0.0100700000000007,1.00700440903007,Up,0.903734011772861,0.949685503231503
Q8NFC6,BOD1L1,Biorientation of chromosomes in cell division protein 1-like 1,68,14.191875,14.181475,0.0104000000000006,1.00723477612407,Up,0.903969234264083,0.949685503231503
Q99547,MPHOSPH6,M-phase phosphoprotein 6,6,14.710675,14.69612,0.0145549999999997,1.01013982030066,Up,0.903969613778425,0.949685503231503
O95248,SBF1,Myotubularin-related protein 5,6,11.462235,11.50486,-0.042625,0.970886799766996,Down,0.903999513421993,0.949685503231503
Q92989,CLP1,Polyribonucleotide 5'-hydroxyl-kinase Clp1,10,14.489745,14.503785,-0.01404,0.990315414178892,Down,0.904133936500623,0.949685503231503
Q5EBL8,PDZD11,PDZ domain-containing protein 11,2,11.798645,11.743305,0.0553400000000011,1.03910396011711,Up,0.904756686015963,0.950188612407358
Q9UP95,SLC12A4,Solute carrier family 12 member 4,2,11.19944,11.175815,0.0236249999999991,1.01651041720074,Up,0.904912811600114,0.950201584344638
Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog,1,11.04608,11.014445,0.0316350000000014,1.02216989021869,Up,0.905338214260136,0.950474592098625
Q5T5C0,STXBP5,Syntaxin-binding protein 5,1,8.853418,8.866183,-0.012765,0.991191004808989,Down,0.90546043756286,0.950474592098625
Q9BXK1,KLF16,Krueppel-like factor 16,3,11.445885,11.41198,0.0339050000000007,1.02377948337187,Up,0.905613756575134,0.950484566810396
Q969N2,PIGT,GPI transamidase component PIG-T,14,11.85996,11.876955,-0.016995,0.988289076643734,Down,0.90628186204463,0.950904297029039
Q02878,RPL6,Large ribosomal subunit protein eL6,11,17.33644,17.32483,0.011610000000001,1.00807990643708,Up,0.906301432438481,0.950904297029039
O75064,DENND4B,DENN domain-containing protein 4B,2,10.0334935,10.1292905,-0.095797,0.935755157626319,Down,0.906669401604703,0.951079156960561
Q92831,KAT2B,Histone acetyltransferase KAT2B,3,10.25973,10.23943,0.0202999999999989,1.01417034866013,Up,0.906755903768875,0.951079156960561
Q86WW8,COA5,Cytochrome c oxidase assembly factor 5,1,10.1918435,10.1179325,0.0739110000000025,1.05256621979216,Up,0.907478910230756,0.951686467425431
Q6ZTU2,EP400P1,Putative EP400-like protein,2,11.5532,11.52412,0.0290800000000004,1.02036123852098,Up,0.907765109072452,0.95176657391101
P52655,GTF2A1,Transcription initiation factor IIA subunit 1,1,12.194525,12.170065,0.0244599999999977,1.01709892125117,Up,0.907843316982147,0.95176657391101
Q12894,IFRD2,Interferon-related developmental regulator 2,7,12.626845,12.619625,0.00722000000000023,1.00501706618317,Up,0.908637787882266,0.952414401138418
Q92930,RAB8B,Ras-related protein Rab-8B,1,10.58632,10.664015,-0.077695,0.947570375174188,Down,0.908749464908286,0.952414401138418
Q8NDZ6,TMEM161B,Transmembrane protein 161B,2,9.447953,9.287173,0.160780000000001,1.11789136805253,Up,0.909611758104794,0.953166974681241
Q96SW2,CRBN,Protein cereblon,3,11.653325,11.616915,0.0364100000000001,1.02555865034399,Up,0.910149605484095,0.953560441762043
Q8TE67,EPS8L3,Epidermal growth factor receptor kinase substrate 8-like protein 3,9,14.094705,14.074565,0.0201400000000014,1.01405788,Up,0.910275809816421,0.953560441762043
Q9P0P8,MTRES1,Mitochondrial transcription rescue factor 1,1,11.5991,11.527595,0.0715050000000002,1.05081230527283,Up,0.910631262267483,0.953712559680491
Q969J2,ZKSCAN4,Zinc finger protein with KRAB and SCAN domains 4,7,12.30176,12.332595,-0.030835,0.978853594781365,Down,0.910807114694675,0.953712559680491
Q6P6C2,ALKBH5,RNA demethylase ALKBH5,12,14.143045,14.12772,0.0153250000000007,1.01067909938846,Up,0.910928980596157,0.953712559680491
Q9H8M5,CNNM2,Metal transporter CNNM2,6,11.032175,11.05243,-0.020255,0.986058400771407,Down,0.910998243193061,0.953712559680491
O60499,STX10,Syntaxin-10,4,11.09977,11.15178,-0.05201,0.96459149852219,Down,0.91150734243136,0.953960099631474
Q7Z2E3,APTX,Aprataxin,8,13.321335,13.3128,0.00853500000000196,1.00593354534062,Up,0.911523381626987,0.953960099631474
Q9UFC0,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1,23,15.48275,15.475745,0.00700499999999948,1.00486730302244,Up,0.911919105479966,0.954153152451811
O00193,SMAP,Small acidic protein,1,10.5005695,10.4192855,0.0812840000000001,1.05795920641033,Up,0.912028022929472,0.954153152451811
Q643R3,LPCAT4,Lysophospholipid acyltransferase LPCAT4,6,12.145425,12.194555,-0.04913,0.966519000951293,Down,0.912229752688895,0.954153152451811
Q96SU4,OSBPL9,Oxysterol-binding protein-related protein 9,4,12.298695,12.319205,-0.02051,0.985884127855358,Down,0.912285333687849,0.954153152451811
Q8NI36,WDR36,WD repeat-containing protein 36,31,14.518585,14.507715,0.0108700000000006,1.00756296569409,Up,0.913271193249327,0.954994830775544
Q99808,SLC29A1,Equilibrative nucleoside transporter 1,4,10.776945,10.800675,-0.02373,0.983686153407131,Down,0.913379077823001,0.954994830775544
Q15165,PON2,Serum paraoxonase/arylesterase 2,5,13.30812,13.32377,-0.01565,0.989210871327293,Down,0.913826147081895,0.955311136675774
P14649,MYL6B,Myosin light chain 6B,6,17.006295,17.01497,-0.008675,0.99400499042353,Down,0.914058194189395,0.955402594559183
P51668,UBE2D1,Ubiquitin-conjugating enzyme E2 D1,1,15.131145,15.151105,-0.01996,0.986260049049173,Down,0.914745342556425,0.95575704769536
P20810,CAST,Calpastatin,21,14.50307,14.52325,-0.02018,0.986109663373894,Down,0.914806183708207,0.95575704769536
Q9H0Z9,RBM38,RNA-binding protein 38,1,9.183772,9.323155,-0.139383,0.907907358683195,Down,0.914831152023127,0.95575704769536
O15541,RNF113A,E3 ubiquitin-protein ligase RNF113A,8,12.683025,12.672475,0.0105500000000021,1.00733950586025,Up,0.915321481637414,0.956105512045036
Q99551,MTERF1,"Transcription termination factor 1, mitochondrial",5,12.891305,12.947935,-0.05663,0.96150748926631,Down,0.915454029387349,0.956105512045036
O15504,NUP42,Nucleoporin NUP42,8,13.42175,13.437965,-0.016215,0.988823544345881,Down,0.915650906218206,0.956160031473554
Q8IWA0,WDR75,WD repeat-containing protein 75,26,15.097255,15.08572,0.0115350000000003,1.00802750171838,Up,0.916736696893622,0.957142627135853
Q9UHR6,ZNHIT2,Zinc finger HIT domain-containing protein 2,4,12.581005,12.53112,0.0498849999999997,1.03518240416957,Up,0.917344906627839,0.957531028978266
Q13190,STX5,Syntaxin-5,8,12.67278,12.68655,-0.01377,0.99050076879393,Down,0.917398468072384,0.957531028978266
Q9C0D3,ZYG11B,Protein zyg-11 homolog B,5,12.64654,12.632365,0.0141749999999998,1.00987378862204,Up,0.917986770562266,0.957736701127435
O00506,STK25,Serine/threonine-protein kinase 25,3,11.687705,11.734355,-0.04665,0.96818188079396,Down,0.918027453722631,0.957736701127435
Q6NUJ5,PWWP2B,PWWP domain-containing protein 2B,6,11.28125,11.30105,-0.0198,0.986369434854266,Down,0.918273219775593,0.957736701127435
Q9P0V9,SEPTIN10,Septin-10,13,14.977245,14.982795,-0.00555,0.996160423245349,Down,0.918419985977536,0.957736701127435
Q8WWQ0,PHIP,PH-interacting protein,10,12.06255,12.083715,-0.021165,0.985436626811989,Down,0.918458884791468,0.957736701127435
Q9BX74,TM2D1,TM2 domain-containing protein 1,1,8.9785995,8.913351,0.0652484999999992,1.04626514038202,Up,0.918465004046858,0.957736701127435
P20936,RASA1,Ras GTPase-activating protein 1,6,10.81446,10.776435,0.0380250000000011,1.02670733704825,Up,0.919055121865678,0.957920809475321
Q9NNW5,WDR6,tRNA (34-2'-O)-methyltransferase regulator WDR6,6,12.00053,11.9847,0.0158299999999993,1.01103293874462,Up,0.919217013928818,0.957920809475321
Q9UKR5,ERG28,Ergosterol biosynthetic protein 28 homolog,5,12.954615,12.924425,0.030190000000001,1.02114659978047,Up,0.919353029286673,0.957920809475321
P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,14,15.74358,15.73764,0.00594000000000072,1.0041257819533,Up,0.919483179731915,0.957920809475321
P10827,THRA,Thyroid hormone receptor alpha,6,11.02725,11.0465,-0.01925,0.986745541097399,Down,0.91954751369806,0.957920809475321
Q2T9J0,TYSND1,Peroxisomal leader peptide-processing protease,3,14.83506,14.863545,-0.028485,0.980449344665834,Down,0.919627220803925,0.957920809475321
P23229,ITGA6,Integrin alpha-6,3,10.718675,10.65419,0.0644849999999995,1.04571158465921,Up,0.919751362206608,0.957920809475321
P57772,EEFSEC,Selenocysteine-specific elongation factor,17,12.67022,12.68076,-0.01054,0.992720850992383,Down,0.919801098037583,0.957920809475321
P11831,SRF,Serum response factor,3,14.73652,14.77826,-0.04174,0.971482558669465,Down,0.92007326149511,0.958053282688071
Q07866,KLC1,Kinesin light chain 1,12,12.25169,12.27054,-0.01885,0.98701916298359,Down,0.920486937615226,0.9582055965019
Q9Y4G6,TLN2,Talin-2,5,10.309555,10.266895,0.0426599999999997,1.03001118223628,Up,0.920509507064694,0.9582055965019
P54819,AK2,"Adenylate kinase 2, mitochondrial",12,15.080875,15.06822,0.0126550000000005,1.00881036234737,Up,0.92201151196264,0.959467129181938
Q99708,RBBP8,DNA endonuclease RBBP8,10,11.359195,11.321985,0.0372099999999982,1.02612749851721,Up,0.922011762359584,0.959467129181938
P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1,2,9.7063245,9.5242095,0.182115000000001,1.13454591817161,Up,0.922175746058197,0.959486698000413
A0FGR8,ESYT2,Extended synaptotagmin-2,20,14.379245,14.367895,0.0113500000000002,1.00789824839294,Up,0.92297844050872,0.960170708849698
P49589,CARS1,"Cysteine--tRNA ligase, cytoplasmic",23,14.16842,14.15972,0.00869999999999926,1.00604859981997,Up,0.923205224262192,0.960255481137681
Q9UKV8,AGO2,Protein argonaute-2,24,12.961355,12.953325,0.00803000000000154,1.00558149066031,Up,0.923472421581439,0.960342074475359
P08263,GSTA1,Glutathione S-transferase A1,4,13.68863,13.818815,-0.130185,0.913714275099126,Down,0.923622176012774,0.960342074475359
O95147,DUSP14,Dual specificity protein phosphatase 14,4,10.61784,10.58742,0.0304200000000012,1.02130940788178,Up,0.923851251730956,0.960342074475359
O60765,ZNF354A,Zinc finger protein 354A,5,11.289385,11.303895,-0.01451,0.989992842586813,Down,0.923869709413577,0.960342074475359
Q8NI35,PATJ,InaD-like protein,11,12.385685,12.406215,-0.02053,0.985870460694021,Down,0.924046566633738,0.960374863796568
Q9NYZ3,GTSE1,G2 and S phase-expressed protein 1,4,11.60535,11.59667,0.0086800000000018,1.00603465312164,Up,0.924417099625552,0.960608901167496
Q86Y82,STX12,Syntaxin-12,5,10.96748,10.950925,0.0165550000000003,1.01154114253562,Up,0.924822083233031,0.960878658715155
A0A494C1R9,TSPY9,Testis-specific Y-encoded protein 9,1,15.519445,15.59342,-0.073975,0.950016845269694,Down,0.925277680871626,0.961123787423139
P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,8,12.13788,12.187595,-0.049715,0.966127165546074,Down,0.925494790828324,0.961123787423139
Q9NUT2,ABCB8,Mitochondrial potassium channel ATP-binding subunit,3,10.958625,10.910695,0.0479299999999991,1.03378057568468,Up,0.925736273378229,0.961123787423139
O43309,ZSCAN12,Zinc finger and SCAN domain-containing protein 12,5,11.90201,11.877185,0.0248249999999999,1.01735627853144,Up,0.925818232212994,0.961123787423139
Q9BW61,DDA1,DET1- and DDB1-associated protein 1,3,13.641295,13.622255,0.0190400000000004,1.01328499399509,Up,0.925864314872205,0.961123787423139
Q8IYB7,DIS3L2,DIS3-like exonuclease 2,4,13.00901,13.05081,-0.0418,0.971442156685815,Down,0.925930572631734,0.961123787423139
O43301,HSPA12A,Heat shock 70 kDa protein 12A,15,12.134205,12.149455,-0.01525,0.98948517684293,Down,0.926124439602017,0.961174061138463
O43402,EMC8,ER membrane protein complex subunit 8,6,11.722235,11.72699,-0.004755,0.996709510721396,Down,0.926606593753336,0.961523469636646
P55197,MLLT10,Protein AF-10,2,11.75658,11.68214,0.0744399999999992,1.05295224012953,Up,0.926771286762361,0.961543396265689
Q96CB9,NSUN4,5-cytosine rRNA methyltransferase NSUN4,4,13.25211,13.271255,-0.019145,0.986817359499278,Down,0.927392511390105,0.961790182694098
Q8N157,AHI1,Jouberin,3,10.514749,10.4575825,0.0571664999999992,1.0404203334695,Up,0.927527550991807,0.961790182694098
Q52M93,ZNF585B,Zinc finger protein 585B,2,11.40191,11.453915,-0.052005,0.964594841547372,Down,0.927557514197045,0.961790182694098
Q49A88,CCDC14,Coiled-coil domain-containing protein 14,6,13.673915,13.66985,0.00406500000000065,1.00282161657672,Up,0.927785459939676,0.961790182694098
Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1,5,13.124935,13.144835,-0.0199,0.986301067304456,Down,0.927839276816995,0.961790182694098
O95295,SNAPIN,SNARE-associated protein Snapin,4,10.44834,10.411965,0.0363750000000014,1.02553377043775,Up,0.927882312733782,0.961790182694098
Q8TB96,ITFG1,T-cell immunomodulatory protein,3,12.417195,12.46213,-0.044935,0.969333488851612,Down,0.92816444818474,0.961931760710828
Q96CW5,TUBGCP3,Gamma-tubulin complex component 3,14,14.77252,14.740075,0.0324449999999992,1.02274394783945,Up,0.928386966988729,0.96201151847421
Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,4,10.943755,10.952435,-0.00868,0.994001545470713,Down,0.929315228094202,0.962822439641727
Q6NUN9,ZNF746,Zinc finger protein 746,2,11.654345,11.638285,0.0160599999999995,1.01119413435861,Up,0.929904576624437,0.96328202929638
Q96LD4,TRIM47,E3 ubiquitin-protein ligase TRIM47,2,12.4094,12.35149,0.0579099999999997,1.04095665740304,Up,0.930438511629536,0.963575539809893
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",4,14.810935,14.80757,0.00336500000000051,1.00233516251746,Up,0.930479512039149,0.963575539809893
O00409,FOXN3,Forkhead box protein N3,1,9.5773865,9.621906,-0.0445195,0.969612699673348,Down,0.93086902020279,0.963827879448573
P48380,RFX3,Transcription factor RFX3,4,11.312805,11.34912,-0.036315,0.975142524335204,Down,0.931019540637902,0.963832729335196
Q9BXK5,BCL2L13,Bcl-2-like protein 13,2,11.182285,11.21552,-0.033235,0.977226573412346,Down,0.931221242597633,0.963890554788999
Q9UHI6,DDX20,Probable ATP-dependent RNA helicase DDX20,22,13.70597,13.71448,-0.00851,0.99411868056457,Down,0.931733055285787,0.964269301970523
O95163,ELP1,Elongator complex protein 1,19,12.83372,12.82288,0.0108399999999982,1.00754201422906,Up,0.932307267664983,0.964454379819981
Q96EU6,RRP36,Ribosomal RNA processing protein 36 homolog,4,16.040175,16.0173,0.0228749999999991,1.01598211103809,Up,0.932352917852005,0.964454379819981
Q86XI8,ZSWIM9,Uncharacterized protein ZSWIM9,2,9.6461765,9.699652,-0.0534755,0.963612157034853,Down,0.932409137614773,0.964454379819981
Q96N06,SPATA33,Spermatogenesis-associated protein 33,1,10.65326,10.677995,-0.024735,0.983001143547981,Down,0.932495610084685,0.964454379819981
Q9Y6G5,COMMD10,COMM domain-containing protein 10,3,10.6275545,10.5336335,0.0939209999999999,1.06726689436977,Up,0.932775646209864,0.964593059896885
Q9H1Y0,ATG5,Autophagy protein 5,4,11.59882,11.589835,0.00898499999999913,1.00624736128057,Up,0.933698685967739,0.965396529343052
Q6PJG2,MIDEAS,Mitotic deacetylase-associated SANT domain protein,32,15.373465,15.36592,0.00754500000000036,1.00524349472871,Up,0.933860897899138,0.965413213548476
Q96FN4,CPNE2,Copine-2,4,10.59573,10.627715,-0.031985,0.97807364262929,Down,0.934193243733811,0.965493276642682
Q9HAJ7,SAP30L,Histone deacetylase complex subunit SAP30L,3,12.59077,12.612725,-0.021955,0.984897162957567,Down,0.934249936878419,0.965493276642682
Q9H3H5,DPAGT1,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,2,12.956465,12.928555,0.0279100000000021,1.01953407916878,Up,0.934436343678767,0.965493276642682
Q13608,PEX6,Peroxisomal ATPase PEX6,2,10.50597,10.538165,-0.032195,0.977931283703058,Down,0.934790406515536,0.965493276642682
Q5VW38,GPR107,Protein GPR107,3,11.97299,11.903225,0.0697650000000003,1.04954570963087,Up,0.934804289050997,0.965493276642682
O15054,KDM6B,Lysine-specific demethylase 6B,3,9.740736,9.6895535,0.0511825000000012,1.03611382300634,Up,0.93484258185759,0.965493276642682
Q9BUN8,DERL1,Derlin-1,5,12.15518,12.14337,0.0118099999999988,1.00821966567321,Up,0.935236747348879,0.965493276642682
O15439,ABCC4,ATP-binding cassette sub-family C member 4,9,15.87372,15.861515,0.012204999999998,1.00849574709045,Up,0.935303187181273,0.965493276642682
Q7L5Y9,MAEA,E3 ubiquitin-protein transferase MAEA,9,12.0713,12.08402,-0.01272,0.991221922147435,Down,0.935353985507457,0.965493276642682
Q92574,TSC1,Hamartin,1,8.794976,8.8524495,-0.0574735,0.960945489330325,Down,0.935504633393445,0.965493276642682
Q9HBH1,PDF,"Peptide deformylase, mitochondrial",4,12.50011,12.509995,-0.009885,0.993171659907443,Down,0.935545308461149,0.965493276642682
Q9BUK6,MSTO1,Protein misato homolog 1,2,13.014695,13.04219,-0.027495,0.981122375303467,Down,0.936035329219477,0.965691348219202
P15941,MUC1,Mucin-1,5,12.36459,12.33538,0.0292099999999991,1.02045318653063,Up,0.936035389669453,0.965691348219202
Q9BWU1,CDK19,Cyclin-dependent kinase 19,4,11.440895,11.49567,-0.054775,0.962744579224378,Down,0.936232860560137,0.965691348219202
P98194,ATP2C1,Calcium-transporting ATPase type 2C member 1,10,12.63665,12.619615,0.0170349999999999,1.01187774903647,Up,0.936321706671001,0.965691348219202
Q86V85,GPR180,Integral membrane protein GPR180,3,10.248169,10.3369265,-0.0887575,0.940332247972735,Down,0.937436264847439,0.966663086229998
P23258,TUBG1,Tubulin gamma-1 chain,14,14.22321,14.22788,-0.00467,0.996768236094267,Down,0.937556420447009,0.966663086229998
P17098,ZNF8,Zinc finger protein 8,11,14.098915,14.101055,-0.00214,0.998517764631156,Down,0.938497449268938,0.967319867675375
Q8TD19,NEK9,Serine/threonine-protein kinase Nek9,1,9.4979295,9.4918905,0.00603900000000124,1.00419468900604,Up,0.938612187768778,0.967319867675375
Q6UVJ0,SASS6,Spindle assembly abnormal protein 6 homolog,7,12.26869,12.245465,0.0232250000000001,1.01622861973609,Up,0.938632517990948,0.967319867675375
O95302,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9,4,13.40449,13.424155,-0.019665,0.986461738563875,Down,0.938944826881309,0.96749085763308
P13682,ZNF35,Zinc finger protein 35,2,11.072015,11.130845,-0.05883,0.960042380987863,Down,0.939112148432853,0.96751242229037
Q92743,HTRA1,Serine protease HTRA1,3,11.35036,11.417655,-0.067295,0.954425834700375,Down,0.939626988303086,0.967891952259211
Q9UK61,TASOR,Protein TASOR,38,15.774835,15.765395,0.00943999999999967,1.00656476360167,Up,0.940026522520704,0.968152608281024
Q8NBQ5,HSD17B11,Estradiol 17-beta-dehydrogenase 11,8,12.54009,12.54927,-0.00918,0.99365711047584,Down,0.940357612759981,0.968225930457014
Q5SY16,NOL9,Polynucleotide 5'-hydroxyl-kinase NOL9,16,15.463135,15.456955,0.00617999999999874,1.00429283751733,Up,0.940459251058017,0.968225930457014
Q5RI15,COX20,"Cytochrome c oxidase assembly protein COX20, mitochondrial",3,11.85494,11.86891,-0.01397,0.990363465748226,Down,0.940537217965506,0.968225930457014
Q9NZM5,NOP53,Ribosome biogenesis protein NOP53,6,16.39745,16.405095,-0.007645,0.99471490532153,Down,0.941088238524356,0.968442288136434
P16591,FER,Tyrosine-protein kinase Fer,2,10.2390305,10.266757,-0.0277265,0.980964953532831,Down,0.941091116023178,0.968442288136434
Q14019,COTL1,Coactosin-like protein,7,13.64748,13.660695,-0.013215,0.99088188445865,Down,0.941186989968273,0.968442288136434
Q719H9,KCTD1,BTB/POZ domain-containing protein KCTD1,4,11.91473,11.9248,-0.01007,0.993044311457568,Down,0.941997970979024,0.968998143900472
P42167,TMPO,"Lamina-associated polypeptide 2, isoforms beta/gamma",8,16.91921,16.91159,0.00761999999999929,1.00529575471415,Up,0.942020437972542,0.968998143900472
Q6NX49,ZNF544,Zinc finger protein 544,1,10.426425,10.502713,-0.076288,0.948494951618876,Down,0.943800579856939,0.970678187406553
Q9H8X2,IPPK,Inositol-pentakisphosphate 2-kinase,3,10.319965,10.33642,-0.016455,0.988659061967078,Down,0.944072358166376,0.970806630639736
Q9H2P0,ADNP,Activity-dependent neuroprotector homeobox protein,52,16.411615,16.415905,-0.00429,0.997030815369064,Down,0.94452140936755,0.97111729846144
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",9,12.356495,12.38753,-0.031035,0.978717906264913,Down,0.945481920459039,0.97195364944996
Q9BYW2,SETD2,Histone-lysine N-methyltransferase SETD2,52,14.923415,14.928445,-0.00503,0.996519540571118,Down,0.946196823525417,0.972427809911368
O43156,TTI1,TELO2-interacting protein 1 homolog,6,10.62082,10.59995,0.0208700000000004,1.01457112033727,Up,0.946237440692995,0.972427809911368
P61011,SRP54,Signal recognition particle subunit SRP54,16,14.79723,14.80186,-0.00463,0.99679587276109,Down,0.946397420752789,0.972441006491788
Q96BU1,S100PBP,S100P-binding protein,4,10.449815,10.430085,0.0197300000000009,1.01376973529415,Up,0.94670918535978,0.972610136179509
Q7RTV3,ZNF367,Zinc finger protein 367,4,11.158295,11.2097,-0.051405,0.964996088695468,Down,0.947425501474932,0.973194768300874
O95639,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,11,15.57858,15.58277,-0.00419,0.997099926674109,Down,0.947823650909688,0.973452448929623
Q8NFQ8,TOR1AIP2,Torsin-1A-interacting protein 2,4,11.47083,11.497075,-0.026245,0.981972821438259,Down,0.948045670215442,0.973456156116312
O75052,NOS1AP,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein,9,14.662185,14.67577,-0.013585,0.990627791058749,Down,0.948121845501694,0.973456156116312
P84101,SERF2,Small EDRK-rich factor 2,1,12.44452,12.48652,-0.042,0.971307495541635,Down,0.948522553217904,0.973514077243878
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,3,12.22043,12.235265,-0.014835,0.989769849211958,Down,0.948589742513601,0.973514077243878
Q96MN5,TCEANC2,Transcription elongation factor A N-terminal and central domain-containing protein 2,1,10.0064315,9.955859,0.0505725000000012,1.03567582619088,Up,0.948620163027777,0.973514077243878
O00165,HAX1,HCLS1-associated protein X-1,3,11.547535,11.52339,0.0241450000000007,1.01687687072983,Up,0.949116022994368,0.973871727366834
P20290,BTF3,Transcription factor BTF3,5,12.550775,12.534135,0.0166400000000024,1.01160074177706,Up,0.94938527690483,0.973996785945983
Q16560,SNRNP35,U11/U12 small nuclear ribonucleoprotein 35 kDa protein,3,12.805775,12.7651,0.0406750000000002,1.02859496728913,Up,0.950530662016347,0.975020509896948
P80303,NUCB2,Nucleobindin-2,4,11.868065,11.886515,-0.01845,0.987292860744396,Down,0.951063811067221,0.97541600362248
Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",1,9.972552,9.9234835,0.0490685000000006,1.03459670360621,Up,0.951652190834636,0.975740746705505
Q8WV44,TRIM41,E3 ubiquitin-protein ligase TRIM41,10,13.46196,13.477865,-0.015905,0.989036041253334,Down,0.951792689941103,0.975740746705505
Q9UBD5,ORC3,Origin recognition complex subunit 3,25,16.20869,16.206505,0.00218500000000077,1.00151567406414,Up,0.951823361175728,0.975740746705505
O94761,RECQL4,ATP-dependent DNA helicase Q4,14,12.47376,12.45449,0.0192699999999988,1.01344654866902,Up,0.952130534274687,0.975886222681411
P41208,CETN2,Centrin-2,5,14.061625,14.056525,0.00509999999999877,1.00354130628149,Up,0.952260591628449,0.975886222681411
