Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q16763,UBE2S,Ubiquitin-conjugating enzyme E2 S,3,13.335835,13.139115,0.196719999999999,1.14608972965966,Up,0.149619857609408,0.446690387573415
Q9P275,USP36,Ubiquitin carboxyl-terminal hydrolase 36,29,14.18204,14.06143,0.120610000000001,1.08719445267676,Up,0.149625639784078,0.446690387573415
Q9NQR4,NIT2,Omega-amidase NIT2,7,11.62055,12.06318,-0.44263,0.735792053241196,Down,0.149738289997526,0.446690387573415
P61353,RPL27,Large ribosomal subunit protein eL27,5,17.65928,17.70082,-0.04154,0.971617244084232,Down,0.149831503486412,0.446690387573415
Q9P035,HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,10,13.454755,13.284785,0.169970000000001,1.12503508999855,Up,0.149988945749852,0.446690387573415
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,13,17.150825,17.47998,-0.329155,0.796002573408916,Down,0.150009341870015,0.446690387573415
Q9UBT2,UBA2,SUMO-activating enzyme subunit 2,15,14.481995,15.074845,-0.59285,0.66303181336051,Down,0.150122116179446,0.446690387573415
Q2M2I8,AAK1,AP2-associated protein kinase 1,10,12.236575,12.50172,-0.265145,0.832115097664659,Down,0.150208741572914,0.446690387573415
Q9H6W3,RIOX1,Ribosomal oxygenase 1,16,14.527735,15.019155,-0.49142,0.711324618356767,Down,0.150238184056813,0.446690387573415
Q13868,EXOSC2,Exosome complex component RRP4,10,15.745575,15.4875,0.258075,1.19588196432608,Up,0.150246951090088,0.446690387573415
P23381,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",18,14.310615,14.39415,-0.083535,0.94374238273271,Down,0.150295528617923,0.446690387573415
Q8TAK5,GABPB2,GA-binding protein subunit beta-2,7,13.446455,13.089345,0.35711,1.28085751811226,Up,0.150326590392015,0.446690387573415
Q8WX93,PALLD,Palladin,26,13.46755,13.663285,-0.195735,0.873127956043043,Down,0.150391700560698,0.446690387573415
Q9UII2,ATP5IF1,"ATPase inhibitor, mitochondrial",2,11.6026,13.087715,-1.485115,0.357220059101524,Down,0.150397200128959,0.446690387573415
Q9UIF8,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B,4,11.5935455,10.15928,1.4342655,2.70244545590692,Up,0.150439334564576,0.446690387573415
Q99714,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2,11,16.06788,15.95508,0.112799999999998,1.08132484963846,Up,0.150500696573329,0.446690387573415
P55209,NAP1L1,Nucleosome assembly protein 1-like 1,6,14.93056,15.22298,-0.29242,0.816531246446221,Down,0.150547663089739,0.446690387573415
P34932,HSPA4,Heat shock 70 kDa protein 4,33,15.922715,15.958875,-0.03616,0.975247297143548,Down,0.150601802941045,0.446690387573415
Q9Y4U1,MMACHC,Cyanocobalamin reductase / alkylcobalamin dealkylase,1,8.3383585,10.0234755,-1.685117,0.310977692564586,Down,0.150691083422199,0.446690387573415
Q86V97,KBTBD6,Kelch repeat and BTB domain-containing protein 6,11,13.62535,14.242875,-0.617525,0.651788137284985,Down,0.150698170835964,0.446690387573415
P10606,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",7,14.358895,14.654085,-0.29519,0.814964996103827,Down,0.150856952226658,0.446690387573415
Q9BQ75,CMSS1,Protein CMSS1,16,15.685155,15.41386,0.271295,1.20689067758835,Up,0.150873831474348,0.446690387573415
P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",29,16.685285,16.79755,-0.112265,0.9251344800255,Down,0.15088131960422,0.446690387573415
Q9UBB5,MBD2,Methyl-CpG-binding domain protein 2,11,14.91573,14.78249,0.133240000000001,1.09675402428323,Up,0.150893644733876,0.446690387573415
Q96SZ5,ADO,2-aminoethanethiol dioxygenase,3,10.995475,11.417585,-0.42211,0.746332284485964,Down,0.150924441738755,0.446690387573415
Q9HAF1,MEAF6,Chromatin modification-related protein MEAF6,5,12.679225,12.467545,0.211679999999999,1.15803591711989,Up,0.151008844363231,0.446736528296459
Q9NW13,RBM28,RNA-binding protein 28,27,15.13352,14.90935,0.224170000000001,1.16810503018422,Up,0.151076057180968,0.446736528296459
O43829,ZBTB14,Zinc finger and BTB domain-containing protein 14,9,13.7402,13.528495,0.211705,1.15805598452703,Up,0.151142816957313,0.446736528296459
